dataset,season,row_count,generated_at_utc
team_rosters,2011,4743,2026-08-18 12:08:36 UTC
team_rosters,2012,4759,2026-08-18 11:43:48 UTC
team_rosters,2013,4777,2026-08-18 11:23:21 UTC
team_rosters,2014,4762,2026-08-18 11:05:58 UTC
team_rosters,2015,4871,2026-08-18 10:51:41 UTC
team_rosters,2016,4864,2026-08-18 08:22:14 UTC
team_rosters,2017,4866,2026-08-18 08:08:29 UTC
team_rosters,2018,4905,2026-08-18 07:54:53 UTC
team_rosters,2019,4905,2026-08-18 07:40:25 UTC
team_rosters,2020,4934,2026-08-18 07:25:29 UTC
team_rosters,2021,4984,2026-08-18 07:14:01 UTC
team_rosters,2022,5211,2026-08-18 06:54:49 UTC
team_rosters,2023,5062,2026-08-18 06:37:19 UTC
team_rosters,2024,5055,2026-08-18 06:19:10 UTC
team_rosters,2025,5113,2026-08-18 06:00:02 UTC
team_rosters,2026,4969,2026-08-18 05:40:06 UTC
