dataset,season,row_count,generated_at_utc
rosters,2010,2550,2026-08-18 12:38:27 UTC
rosters,2011,6420,2026-08-18 12:09:36 UTC
rosters,2012,6589,2026-08-18 11:44:51 UTC
rosters,2013,7489,2026-08-18 11:24:21 UTC
rosters,2014,7098,2026-08-18 11:06:52 UTC
rosters,2015,6873,2026-08-18 10:52:36 UTC
rosters,2016,7070,2026-08-18 08:23:10 UTC
rosters,2017,7094,2026-08-18 08:09:24 UTC
rosters,2018,7297,2026-08-18 07:55:49 UTC
rosters,2019,7429,2026-08-18 07:41:22 UTC
rosters,2020,7047,2026-08-18 07:26:28 UTC
rosters,2021,5578,2026-08-18 07:14:43 UTC
rosters,2022,7550,2026-08-18 06:56:00 UTC
rosters,2023,7435,2026-08-18 06:38:23 UTC
rosters,2024,7760,2026-08-18 06:20:14 UTC
rosters,2025,8113,2026-08-18 06:01:07 UTC
rosters,2026,8382,2026-08-18 05:41:12 UTC
