dataset,season,row_count,generated_at_utc
team_box,2010,10796,2026-08-18 12:45:40 UTC
team_box,2011,10880,2026-08-18 12:25:26 UTC
team_box,2012,10868,2026-08-18 11:57:36 UTC
team_box,2013,10946,2026-08-18 11:32:14 UTC
team_box,2014,11172,2026-08-18 11:13:46 UTC
team_box,2015,11184,2026-08-18 10:58:33 UTC
team_box,2016,11220,2026-08-18 08:28:34 UTC
team_box,2017,11240,2026-08-18 08:14:47 UTC
team_box,2018,11254,2026-08-18 08:01:01 UTC
team_box,2019,11294,2026-08-18 07:47:01 UTC
team_box,2020,10860,2026-08-18 07:32:17 UTC
team_box,2021,7630,2026-08-18 07:19:02 UTC
team_box,2022,11016,2026-08-18 07:05:39 UTC
team_box,2023,11640,2026-08-18 06:45:58 UTC
team_box,2024,11794,2026-08-18 06:27:50 UTC
team_box,2025,11920,2026-08-18 06:09:41 UTC
team_box,2026,12038,2026-08-18 05:48:26 UTC
