dataset,season,row_count,generated_at_utc
schedule,2010,5398,2026-08-18 12:37:44 UTC
schedule,2011,5440,2026-08-18 12:08:22 UTC
schedule,2012,5434,2026-08-18 11:43:33 UTC
schedule,2013,5473,2026-08-18 11:23:06 UTC
schedule,2014,5586,2026-08-18 11:05:48 UTC
schedule,2015,5592,2026-08-18 10:51:30 UTC
schedule,2016,5610,2026-08-18 08:22:04 UTC
schedule,2017,5620,2026-08-18 08:08:18 UTC
schedule,2018,5627,2026-08-18 07:54:43 UTC
schedule,2019,5647,2026-08-18 07:40:15 UTC
schedule,2020,5430,2026-08-18 07:25:18 UTC
schedule,2021,3815,2026-08-18 07:13:52 UTC
schedule,2022,5508,2026-08-18 06:54:25 UTC
schedule,2023,5820,2026-08-18 06:37:08 UTC
schedule,2024,5897,2026-08-18 06:18:59 UTC
schedule,2025,5960,2026-08-18 05:59:51 UTC
schedule,2026,6019,2026-08-18 05:39:55 UTC
